# Source: UKWA OpenData 10.5259/ukwa.ds.1/classification/1
# http://data.webarchive.org.uk/opendata/ukwa.ds.1/classification/
URL,TITLE
http://www.druidic.org/camchurch/,Cambridgeshire Churches
https://www.canterbury-cathedral.org/,Canterbury Cathedral
http://www.capeli.org.uk/,Capel - Chapels Heritage Society
http://www.suffolkchurches.co.uk/,Suffolk Churches Site
https://www.thrumptonhall.com/,Thrumpton Hall
http://itakephotos.eu/,Martin John Callanan - itakephotos
https://www.marxismfestival.org.uk/,Marxism Festival
http://www.medievalpottery.org.uk/,Medieval Pottery Research Group
http://www.pencubitt.com/,Pencubitt Country House Hotel
http://www.pillboxesuk.co.uk/,Pillboxes UK
https://www.redbooklive.com/,RedBookLive
http://www.historicfarnborough.co.uk/,Historic Farnborough
http://www.ilam.org.uk/,Ilam Cross Trust
http://www.industrialbritain.co.uk/,Industrial Britain
http://www.janetradyfineart.com/,Janet Rady Fine Art
http://www.jimbutlerartist.com/,Jim Butler
http://www.johnangerson.com/,John Angerson - Artist/Photographer
https://www.jacquiebinns.com/,Jacquie Binns
http://www.jancavelle.com/,Jan Cavelle Furniture Company Ltd
https://janetgranger.wordpress.com/,Janet Granger's Blog
http://www.nanteos.com/,Nanteos Mansion
https://www.nationaltrust.org.uk/,National Trust
http://norfolkchurches.co.uk/,Norfolk Churches Site
http://www.arabbritishcentre.org.uk/,Arab British Centre
http://architecturemps.com/,Architecture_media_politics_society
https://www.artek-design-house.co.uk/,Artek Design House Ltd
http://www.brookgate.eu/,Brookgate Ltd
http://www.buildinghistory.org.uk/,Building History
http://www.commissionsnorth.org/,Commissions North
https://compassliveart.org.uk/,Compass Live Art
http://www.cookham.com/,Cookham.com
http://www.chameleonstudios.co.uk/,Chameleon Studios Ltd
https://www.chrysalisarts.org.uk/,Chrysalis Arts
http://www.bowarts.org/,Bow Arts Trust
http://www.richardbowring.co.uk/,Bowring
http://www.brazilianartists.net/,BrazilianArtists.net
http://www.castlestudiesgroup.org.uk/,Castle Studies Group
http://www.cae.org.uk/,Centre for Accessible Environments
http://www.chapelssociety.org.uk/,Chapels Society
http://www.design-corps.co.uk/,Design Corps
https://www.designcouncil.org.uk/,Design Council
http://www.designedge.co.uk/,DesignEdge Cambridge Ltd
https://kbender.blogspot.co.uk/,Iconography in Art History
http://www.ideasbyeden.co.uk/,Ideas by Eden
http://www.imaginativeeye.co.uk/,Imaginativeeye and Eyeprojects
https://anendlesssupply.co.uk/,Endless Supply
http://www.francis-bacon.com/,Estate of Francis Bacon
https://www.eventus.org.uk/,Eventus
https://www.artsway.org.uk/,ArtSway
http://artesmundi.org/,Artes Mundi
https://printmakingart.blogspot.com/,Artist Printmaker On line
http://www.harewood.org/,Harewood House
http://www.theheritagealliance.org.uk/,Heritage Alliance
https://www.hct.org.uk/,Historic Chapels Trust
http://www.engagingplaces.org.uk/,Engaging Places
http://www.fola.org.uk/,Friends of Liverpool Airport
http://www.artcardiff.com/,ARC - Artist Resource Cardiff
http://www.acting-up.org.uk/,Acting Up
http://www.adrenalinecreative.co.uk/,Adrenaline Creative
https://www.bre.co.uk/,BRE
http://projects.bre.co.uk/,BRE Projects
https://www.baufritz.com/uk/,Baufritz UK
http://www.iga.stir.ac.uk/,International Gothic Association
http://www.iwanbala.com/,Iwan Bala
http://www.jackyfleming.co.uk/,Jacky Fleming
